tweets,Polarity,Subjectivity,sentiment
tweets,0.0,0.0,Neutral
good,0.7,0.6000000000000001,Positive
khasai kei gareko xainan balen dai yeti bidi jholey tarika raja sanga comapre nagareko vaye,0.0,0.0,Neutral
the master corruption country the president prime minister minister mla mayor and even the ward,0.0,0.0,Neutral
one the extremely rare occasions where happen agree with this guy even partially although,0.09999999999999999,0.6,Positive
balen during weekends,0.0,0.0,Neutral
balen and sampang effect federal elections via,0.0,0.0,Neutral
whut balen,0.0,0.0,Neutral
rabindra mishra will never win ended his political career the moment decided,-0.2,0.25,Negative
proud you,0.8,1.0,Positive
balen  wife  wasn  familiar with his game,-0.012500000000000011,0.45,Negative
balen leading the metropolis while serving bhaneko mijyu yesto,0.0,0.0,Neutral
really nice pict thank you keep going sir please from boston please,0.6,1.0,Positive
his majesty the king gives personal declaration today  accession council where was formally proclaimed king char,0.0,0.3,Neutral
beautiful,0.85,1.0,Positive
jealousy against balen,0.0,0.0,Neutral
hait,0.0,0.0,Neutral
songs lany,0.0,0.0,Neutral
election      rise independent candidates like balen and sampang the local level has paved the path for sev,0.0,0.0625,Neutral
fake acount,-0.5,1.0,Negative
thank,0.0,0.0,Neutral
that not the end the story course farmers can fight back can show solidarity with them sri lanka,0.0,0.0,Neutral
nicely expressed balen and the team should heed the author feedback hilarious the,0.55,1.0,Positive
hero nation,0.0,0.0,Neutral
balen able deliver because professional and free take his own decisions unfettered,0.4,0.63125,Positive
rell time rell king love heart contact fell,0.5,0.6,Positive
before balen the president and the prime minister showed zero and thinking       same photo   terro,0.0,0.125,Neutral
balen less than great celebrity,0.3166666666666667,0.4083333333333333,Positive
balen don deserves extra well done,0.0,0.1,Neutral
when you hangry momo pasal and the server down you can even watch balen dozer tiktok,-0.15555555555555556,0.2888888888888889,Negative
wonder will rabindra misra accept balen new king when monarchy gets back,0.06818181818181818,0.22727272727272727,Positive
nothing interesting just routiney pretending balen the king,0.5,0.5,Positive
balen compairing himself with the king omg,0.0,0.0,Neutral
but balen leader all isn  public servant,0.0,0.06666666666666667,Neutral
great job,0.8,0.75,Positive
kathmandu metro mayor balen shah gave his presence during indra jatra basantapur yesterday and huge crowd people was,0.39999999999999997,0.9,Positive
emily ratajkowski slays ratajkowski wearing knwls halcyon long sleeved top knwls halcyon flared leggings balen,0.225,0.45,Positive
nirmal jee still remember you arguing with twitter during the mayoral election saying bale,0.0,0.0,Neutral
ridicule         those days are gone you must stand out your own merit without belittling you,0.6,1.0,Positive
summer dump,0.0,0.0,Neutral
versace bottega praga balen vuitton dior givenchy,0.0,0.0,Neutral
balen craze evidence hunger for good leadership nepal,0.7,0.6000000000000001,Positive
nice pic,0.6,1.0,Positive
the balen brothers blew through the competition winning the first annual district doubles invite tournament con,0.375,0.5416666666666666,Positive
how you make many levels,0.5,0.5,Positive
fan page,0.0,0.0,Neutral
the video shows people  craze and support for kathmandu metropolis mayor balen shah during indra jatra festival held,0.0,0.0,Neutral
great effort well done balen salute you,0.8,0.75,Positive
really proud you and shine like our king birendra always think about our nepali people and,0.8,1.0,Positive
keep the good work,0.7,0.6000000000000001,Positive
balen turning into revolution,0.0,0.0,Neutral
this the pic the decade,0.0,0.0,Neutral
balen making dormant folks realize what leader should something never had far never life had,0.1,1.0,Positive
great work,0.8,0.75,Positive
not purse   balen,0.0,0.0,Neutral
has been warned,0.0,0.0,Neutral
thnak you willbe there balen sahar aainus,0.0,0.0,Neutral
paid actor everyday follows balen tetro berojgar chaina hola free nara lagayera balen,0.1,0.7,Positive
this another extreme sure balen realizes also king did not have balen kind personality,0.325,0.9296296296296296,Positive
balen not king,0.0,0.0,Neutral
shit balen,-0.2,0.8,Negative
will gladly play the triple price united states dollars for creo game,0.04999999999999999,0.7,Positive
before balen the president and the prime minister showed zero and thinking       same photo   terrorist https,0.0,0.125,Neutral
blegh balen,0.0,0.0,Neutral
nice pic ahead balen,0.6,1.0,Positive
